# 
# 05/13/2022 10:04:08
# Les paramètres définis dans le projet sont :
# P1 - RayonDiaphragme [mm],P6 - VitesseEntree [m s^-1],P3 - trainee-op [N],P5 - PertePressionTotale [Pa]
# 
# La ligne d'en-tête suivante définit le nom des colonnes en référence aux paramètres.
Nom,P1,P6,P3,P5
DP 0,8.5,0.15,0.85002411,75.065646
DP 1,8.5,0.25,2.2779407,200.4427
DP 2,8.5,0.35,4.4863893,397.19146
DP 3,8.5,0.45,7.5301222,667.02497
DP 4,8.5,0.55,11.247847,995.55354
DP 5,9,0.15,0.69134404,61.029095
DP 6,9,0.25,1.8515402,163.81305
DP 7,9,0.35,3.5996363,318.80086
DP 8,9,0.45,6.0488308,535.77861
DP 9,9,0.55,9.0624074,802.18741
DP 10,9.5,0.15,0.56548926,49.88335
DP 11,9.5,0.25,1.5125021,133.76843
DP 12,9.5,0.35,2.9297078,258.76242
DP 13,9.5,0.45,4.9128806,435.2477
DP 14,9.5,0.55,7.3830489,653.4392
